song_title,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Every Hour,0.466,0.588,112239,0.793,0.000647,7,0.913,-6.23,1,0.0794,76.997,5,0.694
Selah,0.647,0.482,164620,0.618,0.000859,9,0.32,-5.673,0,0.197,90.076,3,0.146
Follow God,0.000248,0.529,104591,0.9,1.21E-05,1,0.0426,-3.503,1,0.418,180.291,4,0.434
Closed On Sunday,0.873,0.799,151873,0.291,0.000641,11,0.139,-7.353,0,0.0318,97.984,4,0.406
On God,0.0671,0.41,136351,0.886,0,9,0.461,-4.413,0,0.155,72.577,4,0.393
Everything We Need,0.312,0.894,116560,0.416,0,9,0.146,-6.823,0,0.0538,116.96,4,0.463
Water,0.57,0.505,168420,0.281,0.000254,2,0.163,-12.404,1,0.1,82.338,4,0.283
God Is,0.34,0.656,203141,0.637,0,1,0.187,-3.867,1,0.0256,105.037,4,0.267
Hands On,0.558,0.514,203174,0.393,0,1,0.282,-8.72,0,0.529,78.039,4,0.598
Use This Gospel,0.614,0.611,213878,0.459,0,0,0.126,-3.926,0,0.0422,148.28,4,0.177
Jesus Is Lord,0.828,0.243,49293,0.26,4.03E-05,4,0.532,-5.876,0,0.0305,76.61,3,0.327
Feel The Love,0.126,0.58,165053,0.469,7.32E-05,0,0.099,-5.946,0,0.104,110.573,4,0.369
Fire,0.472,0.709,140527,0.751,4.71E-06,6,0.182,-3.801,1,0.16,104.999,4,0.37
4th Dimension,0.278,0.765,153351,0.542,1.87E-05,1,0.609,-6.755,1,0.39,171.945,4,0.734
Freeee (Ghost Town Pt. 2),0.00457,0.334,206605,0.81,0,9,0.158,-4.855,0,0.0632,151.643,4,0.306
Reborn,0.339,0.585,324674,0.597,0.0404,0,0.195,-7.499,1,0.037,100.051,4,0.227
Kids See Ghosts,0.113,0.841,245098,0.682,9.65E-05,2,0.131,-7.007,1,0.0458,94.985,4,0.338
Cudi Montage,0.401,0.729,197001,0.504,1.44E-06,8,0.121,-6.784,0,0.0321,110.011,4,0.305
I Thought About Killing You,0.867,0.752,274187,0.396,0,2,0.0486,-7.932,1,0.411,116.016,4,0.417
Yikes,0.15,0.683,188773,0.776,0,1,0.227,-3.251,0,0.341,173.996,4,0.223
All Mine,0.123,0.925,145507,0.31,0,11,0.0931,-6.531,0,0.291,121.927,4,0.291
Wouldn't Leave,0.495,0.556,205547,0.432,0,3,0.308,-8.551,1,0.545,164.235,4,0.352
No Mistakes,0.0393,0.643,123040,0.646,0,10,0.109,-2.442,0,0.0629,80.174,4,0.35
Ghost Town,0.0969,0.573,271387,0.545,0,7,0.329,-4.247,0,0.0288,83.378,4,0.297
Violent Crimes,0.376,0.669,215320,0.419,0,1,0.187,-6.724,0,0.522,109.813,4,0.0397
Ultralight Beam,0.62,0.592,320680,0.403,0,0,0.54,-8.768,0,0.414,105.169,4,0.391
Father Stretch My Hands Pt. 1,0.118,0.724,135920,0.573,0,7,0.538,-4.113,1,0.0549,113.088,4,0.438
Pt. 2,0.552,0.674,130293,0.752,0,11,0.787,-4.073,1,0.333,145.076,4,0.236
Famous,0.0711,0.465,196040,0.735,0,6,0.0975,-3.715,1,0.117,173.935,4,0.409
Feedback,0.563,0.811,147240,0.566,0,8,0.104,-6.033,0,0.517,100.224,4,0.169
Low Lights,0.706,0.603,131773,0.593,0,7,0.121,-4.685,1,0.109,101.956,4,0.523
Highlights,0.00572,0.547,199867,0.626,0,2,0.313,-6.244,1,0.208,101.971,4,0.346
Freestyle 4,0.0449,0.564,123387,0.537,0,9,0.0907,-8.381,0,0.095,126.036,4,0.459
I Love Kanye,0.594,0.756,44827,0.374,0,5,0.217,-7.966,1,0.741,80.326,4,0.966
Waves,0.0528,0.557,181573,0.586,7.33E-06,10,0.339,-4.57,1,0.0382,96.091,4,0.0681
FML,0.329,0.527,236120,0.415,0,5,0.195,-7.184,1,0.131,125.357,4,0.12
Real Friends,0.262,0.441,251573,0.744,0.000382,6,0.138,-6.248,0,0.476,81.396,4,0.124
Wolves,0.219,0.395,301587,0.392,0.00173,1,0.134,-8.034,1,0.0925,155.856,4,0.103
Frank's Track,0.976,0.655,38333,0.179,0,11,0.105,-6.903,1,0.0722,140.687,4,0.758
Siiiiiiiiilver Surffffeeeeer Intermission,0.982,0.788,56560,0.409,0.000203,9,0.11,-11.917,1,0.881,72.623,4,0.925
30 Hours,0.0359,0.823,323303,0.813,0,7,0.0886,-6.71,1,0.288,95.012,4,0.373
No More Parties In LA,0.246,0.508,374413,0.921,0,5,0.221,-1.644,1,0.303,93.058,4,0.681
Facts (Charlie Heat Version),0.0518,0.777,200733,0.662,0,1,0.168,-3.761,0,0.143,142.059,4,0.4
Fade,0.118,0.752,193748,0.765,0,9,0.31,-5.805,0,0.0908,105.998,4,0.309
Saint Pablo,0.282,0.461,372113,0.772,0,2,0.178,-3.98,0,0.375,167.018,4,0.414
On Sight,0.487,0.605,156480,0.469,0,9,0.28,-3.182,0,0.327,101.601,4,0.515
Black Skinhead,0.0011,0.766,188013,0.809,0,1,0.168,-6.123,1,0.279,130.127,4,0.325
I Am A God,0.0367,0.51,231507,0.532,0.000794,4,0.165,-7.405,0,0.0715,111.885,4,0.305
New Slaves,0.165,0.506,256093,0.59,1.09E-05,1,0.096,-4.322,1,0.076,141.099,4,0.359
Hold My Liquor,0.0194,0.497,326947,0.322,7.72E-06,8,0.115,-10.358,1,0.0333,106.976,4,0.04
I'm In It,0.141,0.485,234853,0.604,0,1,0.0668,-4.591,1,0.345,170.337,4,0.45
Blood On The Leaves,0.395,0.397,359800,0.69,0,2,0.101,-4.108,0,0.195,172.073,4,0.36
